mean,median,std,p95,p99,cvar95,cvar99,n_samples,slo_violation_rate,scheduler,target,device,load,distance,regime,n_cotenants,cotenants,scenario,seed
3428334.675210688,1817634.9253426385,7163096.455006308,11502102.176486362,25598146.806140106,24952157.25986082,58390924.71537169,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"log_aggregator,batch_training,video_transcode",Triton (ResNet-50),42
1887934.3207424092,570176.1765036143,9913342.526083523,5306574.833841351,19773250.078222446,22641713.738783244,77836514.73091972,300,0.9966666666666667,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),42
928644.7946164499,491694.3144817916,1607402.278433489,3209713.334004481,6892334.737753167,6115746.797753,13343157.168923797,300,0.9933333333333333,random,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"video_transcode,batch_training,idle_daemon",Triton (ResNet-50),42
508138.41032599815,200431.79674630737,1224711.173120176,2172767.5033842605,5160543.965366422,4343352.621540848,9589115.699040962,300,0.9766666666666667,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),42
15460656.114954837,5335353.236121878,54733384.40826587,52436772.071459524,150151812.81126854,151909898.27659634,417840122.5579148,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"video_transcode,log_aggregator,data_shuffle",Triton (ResNet-50),42
4608266.518306454,2013242.3027802058,11760073.471220076,14574412.216302741,38069954.882568434,39660212.69886244,102877119.36605638,300,1.0,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),42
2667719.7513095103,1182195.525071635,7445943.772139031,7729789.199043716,22984283.00173075,20793343.459915597,62497343.412657,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"batch_training,idle_daemon,video_transcode",Triton (ResNet-50),42
1196274.9967658052,609138.3124326894,2286816.2662536935,4109791.25426703,13519792.568106875,8491539.334302984,18397489.652534727,300,0.9933333333333333,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),42
3233590.8666832447,1709261.3136863925,5966465.750051463,11141996.406897191,23007989.877171613,22647461.607259076,48567217.631322145,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"batch_training,data_shuffle,log_aggregator",Triton (ResNet-50),43
1301276.9010289155,498001.4956976174,3781251.5676913606,4015056.1179694915,17893500.44397055,12603864.592684455,34033915.44258312,300,0.9966666666666667,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),43
512263.8423321225,183185.5780448218,1087570.4504604049,1932358.3856360083,4868820.034563507,4503927.478917105,8448095.849340089,300,0.97,random,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,data_shuffle,log_aggregator",Triton (ResNet-50),43
431871.7272864431,223555.01472163608,884451.0427391796,1487401.8349925133,3133754.7801891463,3162734.8141999645,6780342.676027852,300,0.9633333333333334,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),43
34218167.221813135,11234900.259712677,114423394.49526493,87317354.69513978,509148774.94142705,395879731.82662666,887592768.2909123,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"batch_training,video_transcode,data_shuffle",Triton (ResNet-50),43
5787499.547225482,1830468.411503996,19494857.323662776,22440850.541890703,67097314.02724236,60435478.74024602,156927062.62413844,300,1.0,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),43
2282064.590432133,1130408.792809675,5872240.843690717,6979346.867984877,12021374.615466828,16767675.569308586,45779301.349282555,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"video_transcode,data_shuffle,log_aggregator",Triton (ResNet-50),43
1276777.647048591,587592.6328089675,2684523.897097428,3827462.0237420495,14427029.462489735,10595216.053241303,21715061.230067838,300,0.9966666666666667,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),43
30362179.987615548,1646126.7902291776,429943819.47671086,14848360.196059536,119467999.22089806,554758468.9139884,2608866468.594833,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"log_aggregator,video_transcode,batch_training",Triton (ResNet-50),44
1189840.0066027055,557847.4875586655,2591557.325605137,3982440.6760534868,14652252.886367613,10542574.965812648,19847683.12318817,300,0.9933333333333333,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),44
583491.7764127738,218252.61371414812,1533195.9247894334,1848283.272064696,6542045.69531384,5561871.766985303,12987130.044027219,300,0.98,random,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,data_shuffle,log_aggregator",Triton (ResNet-50),44
757369.6646145999,216392.3202562685,3935616.364845951,1437923.295950984,7062047.553808601,9546569.607023267,35522637.99536154,300,0.9633333333333334,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),44
16954200.690022543,6597519.979570618,46138847.407451704,51933506.16361975,196106890.63784638,168905012.69090876,407501452.70540065,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"data_shuffle,batch_training,idle_daemon",Triton (ResNet-50),44
6764674.037237636,1828402.1698898086,30996313.833114285,15838203.048659997,78711640.06358695,86446411.02336197,284513422.8175073,300,0.9966666666666667,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),44
4938561.827884945,1761523.3677362688,28099044.008153632,11211450.443020705,40655814.551021166,56547398.87043592,197630951.67033598,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"log_aggregator,batch_training,video_transcode",Triton (ResNet-50),44
7928519.513539627,570188.5282256077,120587189.26513524,3333711.9056580076,6454367.461230519,144780987.11789855,703903852.3150896,300,0.9866666666666667,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),44
4795057.237361513,1664612.732280387,15477259.509753108,16154229.511492087,97348299.00496131,53407188.69674775,135601101.66134658,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"video_transcode,idle_daemon,batch_training",Triton (ResNet-50),45
1812991.7994955934,578220.5476867554,6421621.81723855,5206699.507631394,36750513.24097534,21011425.238758724,58003408.02790793,300,1.0,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),45
895963.2855601005,345083.76852582215,2855130.0901907505,2780932.1250381055,7056080.476962549,9481289.029139763,26653706.86247329,300,0.9733333333333334,random,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,batch_training",Triton (ResNet-50),45
352508.0596958999,219599.70211007446,514610.50589347316,1004136.408175637,2511216.021996978,2070643.395515525,3850148.418158395,300,0.9633333333333334,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),45
