scenario,spectator,mean_delta_p99,std_delta_p99
Triton (ResNet-50),batch_training,404624.30645739014,43656.339902108826
Triton (ResNet-50),log_aggregator,137873.67034263702,41798.433368683676
Triton (ResNet-50),video_transcode,248636.91156012987,34204.403259302926
Triton (ResNet-50),idle_daemon,66810.66425368085,31510.618189887755
Triton (ResNet-50),data_shuffle,155878.07755614578,8218.179280671713
Redis (GET),batch_training,2075.5782371403757,470.9024929557852
Redis (GET),log_aggregator,812.5227889773026,11.264320272695727
Redis (GET),video_transcode,1327.4347997058464,786.1800990318359
Redis (GET),idle_daemon,166.0648225248836,175.73358810302847
Redis (GET),data_shuffle,1624.2164596288749,929.2657741443419
gRPC Endpoint,batch_training,13462.193358864022,2196.3944426382423
gRPC Endpoint,log_aggregator,3651.530821620856,787.2310950574465
gRPC Endpoint,video_transcode,8565.202925437527,3881.0817980264756
gRPC Endpoint,idle_daemon,1102.537292913109,1086.667239609208
gRPC Endpoint,data_shuffle,14171.23884246765,295.4989972020476
