repeat,naive_tau,irbs_tau,true_tau
0,1412.5701871937606,1209.1027212223662,1040.4671449155906
1,1870.9651493836573,1295.1169547391346,1040.4671449155906
2,1439.728934349042,973.8441394904135,1040.4671449155906
3,1570.0304658786117,1001.7430756263152,1040.4671449155906
4,1260.0514346520158,989.0877497314832,1040.4671449155906
5,1555.5379580618091,1562.8097930318304,1040.4671449155906
6,1701.9994387653628,1256.4585612736091,1040.4671449155906
7,2082.7749389322707,1053.5787649171357,1040.4671449155906
8,1030.9670652346363,1143.371898988763,1040.4671449155906
9,1335.5032092594097,1040.306284106758,1040.4671449155906
10,1677.1811862534068,1122.8410010452449,1040.4671449155906
11,1754.3747635700747,1218.4262407501715,1040.4671449155906
12,1230.8165902774228,998.1086197472468,1040.4671449155906
13,1692.033938667213,1225.4774747447675,1040.4671449155906
14,1337.322003440642,986.4086864917922,1040.4671449155906
15,1812.2872114513368,1168.154864184276,1040.4671449155906
16,1775.8624650116972,1019.9824074155804,1040.4671449155906
17,1470.8883865239454,919.8634952525813,1040.4671449155906
18,1419.2837403082212,1287.49998398222,1040.4671449155906
19,1701.9712056154003,1436.2447423453445,1040.4671449155906
20,1117.446343378194,1107.430893489125,1040.4671449155906
21,1596.7924844796178,965.7009757095943,1040.4671449155906
22,1611.4043478334802,1059.9535917215987,1040.4671449155906
23,1619.6417128852777,1198.0124358614623,1040.4671449155906
24,1892.0609736238694,1062.627508257251,1040.4671449155906
25,1356.611639996372,694.6284159334809,1040.4671449155906
26,1664.8868834328478,1347.4624263840344,1040.4671449155906
27,1215.9945977755642,1155.8596273650005,1040.4671449155906
28,1492.5509007999144,1489.1514521446777,1040.4671449155906
29,2044.7626046306787,1452.7108965077,1040.4671449155906
30,1550.9320100280956,1318.435882981115,1040.4671449155906
31,1627.1884406215977,846.0314445939771,1040.4671449155906
32,1480.7278687126684,1353.3447693685316,1040.4671449155906
33,1203.216661653306,986.6843670682788,1040.4671449155906
34,1376.4907032326341,1029.5481325885285,1040.4671449155906
35,1551.303402010303,1314.3693806231186,1040.4671449155906
36,1474.5480210927244,1417.3891668987658,1040.4671449155906
37,1533.2036471804067,865.3970394872044,1040.4671449155906
38,1743.6372889904565,1071.762698963908,1040.4671449155906
39,2003.9060804459164,1170.2973877906811,1040.4671449155906
