drift_type,magnitude,mean_naive_bias,mean_irbs_bias,bias_reduction_pct,naive_rmse,irbs_rmse
abrupt_shift,0.0,-49747.55342347691,-40818.68961035011,17.9483476043931,71328.80272958113,58792.893989658325
abrupt_shift,0.05,-54710.307546053125,-57327.45619864608,-4.783648219103753,85382.63841306012,72721.99915766923
abrupt_shift,0.1,-42532.798059535606,-48948.01396995013,-15.082985844088558,52275.001812981136,71963.50649334794
abrupt_shift,0.15,-60611.25490783753,-23912.226217561187,60.548207995493684,76386.68810208581,84149.93401448596
abrupt_shift,0.2,-43362.886157340814,-50401.09619061714,-16.23095383397317,64814.781187393186,94230.19704061096
abrupt_shift,0.3,-42395.478401294036,-46772.50680153652,-10.324281185865525,57054.37056347976,71726.65798035607
combined,0.0,-40912.27242591335,-16833.71992223544,58.854106789792596,58525.02169075825,87089.1349844415
combined,0.05,-54729.15072165171,-27973.70518668181,48.88701027181301,73544.90708082955,92317.59817925461
combined,0.1,-26480.16371235235,-49575.84295710946,-87.21879326593263,99112.42310719765,68104.95870275053
combined,0.15,-23130.222516808986,-31767.528510919656,-37.342079125411985,65390.902559375456,80972.86011691528
combined,0.2,-47827.55015333379,-21370.089141765726,55.31845333232872,71547.83044670968,73599.58639231145
combined,0.3,-41705.745312724655,-37804.48662795101,9.354247611499588,60601.42430606085,58058.5429932808
heteroscedastic,0.0,-33339.024888712556,-50814.61740645683,-52.41782738421035,86908.04999691722,89380.94627543245
heteroscedastic,0.05,-37681.615528917595,-27307.80495054536,27.53016406743807,58324.86150978628,116846.31740915215
heteroscedastic,0.1,-8764.686087843813,-47902.40263434492,-446.5387140422883,72649.02951779914,69737.16981284675
heteroscedastic,0.15,-18086.224466774795,-36535.003236025754,-102.00458809489064,77785.78591008233,91678.60251389851
heteroscedastic,0.2,-24021.725428966063,-43317.3463723033,-80.32570766157387,76027.88652129783,83920.33584489262
heteroscedastic,0.3,-27516.639446993046,-29011.197905537225,-5.431471606201166,83481.76596660526,110241.47256183483
none,0.0,-11295.762932587035,-35668.887421773135,-215.77227350330023,83020.80340186063,89253.61105601105
none,0.05,-63180.12721783142,-27518.06132652535,56.445068191064216,70705.37249959505,95034.33754744756
none,0.1,-40380.72612624794,-36331.82310726097,10.02682073206983,75529.92416821749,80130.3967225273
none,0.15,-66397.69640645041,-40937.25239110065,38.34537249529688,74902.15524843562,77403.82087096272
none,0.2,-13567.82348932586,-37110.379775809,-173.51756016729323,73209.28532678209,61533.58445147346
none,0.3,-39290.96380363279,-34018.192822687866,13.419805651235794,98945.35622143507,58285.67467475418
periodic,0.0,-33820.67693385278,-57365.95566928156,-69.61799960858013,71614.09904115404,100901.34403450399
periodic,0.05,-47301.488035401584,-47622.47738737689,-0.6786030742522708,67967.06694906738,65097.599677706414
periodic,0.1,-45610.25972322376,-33010.47050225234,27.62490127754278,72943.7104365412,71296.70971257561
periodic,0.15,-43990.08190692288,-50946.178595573016,-15.812875055264275,68945.6264646683,65339.492098572424
periodic,0.2,-47933.90765095474,-25860.88331739611,46.04887315736917,84304.59421627817,56671.56010703933
periodic,0.3,-24142.67932664324,-49921.47632688749,-106.77686867917528,80825.82915467904,82935.50769326458
slow_ramp,0.0,-49939.3583931703,-43601.84036545265,12.690427413629667,69733.14345144002,71127.61127822
slow_ramp,0.05,-54581.932672725074,-11594.479193659678,78.75766095865362,69802.45833119839,62232.63551069755
slow_ramp,0.1,-42978.98683668792,-29079.25787262634,32.340755301836076,85459.39956159047,92587.97033118639
slow_ramp,0.15,-50858.65805289543,-44820.11966326733,11.873176801770368,74571.58541068686,68386.76559950534
slow_ramp,0.2,-47956.4101048311,-44105.35473420872,8.030324543067557,65633.09948634074,62622.62550037353
slow_ramp,0.3,-25673.58159700818,-65452.20685287055,-154.9399140340353,67203.17374181136,78533.24191515622
