drift_type,magnitude,repeat,naive_bias,irbs_bias,naive_rmse,irbs_rmse
none,0.0,0,81096.74042419426,-33653.74624615369,45141.47266566807,57233.10577705937
none,0.0,1,12051.342688626813,49513.766918522626,45141.47266566807,57233.10577705937
none,0.0,2,-23502.80244338364,-18669.78090478247,45141.47266566807,57233.10577705937
none,0.0,3,-25147.940675890102,22303.026746231684,45141.47266566807,57233.10577705937
none,0.0,4,33012.16664079059,-19648.81209930597,45141.47266566807,57233.10577705937
none,0.0,5,-33543.51301979122,28585.054590919317,45141.47266566807,57233.10577705937
none,0.0,6,-72877.6997312605,-39982.67090865888,45141.47266566807,57233.10577705937
none,0.0,7,36303.95610806506,-72240.59864485185,45141.47266566807,57233.10577705937
none,0.0,8,18282.10509225566,-11230.338683140464,45141.47266566807,57233.10577705937
none,0.0,9,-12982.407219735469,-185.03115040017292,45141.47266566807,57233.10577705937
none,0.0,10,-11521.201397997269,27740.580395608587,45141.47266566807,57233.10577705937
none,0.0,11,-24313.719514800236,79761.63971820689,45141.47266566807,57233.10577705937
none,0.0,12,-52555.6766315531,-12078.09991381265,45141.47266566807,57233.10577705937
none,0.0,13,115987.97300342465,10625.88991845856,45141.47266566807,57233.10577705937
none,0.0,14,-28979.80612414144,53199.7315705432,45141.47266566807,57233.10577705937
none,0.0,15,-27436.807326383452,-24325.39738092103,45141.47266566807,57233.10577705937
none,0.0,16,22504.767718070565,-18167.23855226577,45141.47266566807,57233.10577705937
none,0.0,17,44593.89544045387,196173.244957809,45141.47266566807,57233.10577705937
none,0.0,18,-16629.808308301406,-46306.794106159505,45141.47266566807,57233.10577705937
none,0.0,19,46882.90759232527,-34135.689789625205,45141.47266566807,57233.10577705937
none,0.05,0,-27248.379842365102,-36451.59564744451,29795.490762889345,39286.28505053833
none,0.05,1,25491.362533621024,-23523.647085312055,29795.490762889345,39286.28505053833
none,0.05,2,-30022.145887037273,-60024.8166242032,29795.490762889345,39286.28505053833
none,0.05,3,-3588.3810622447345,20458.496023890708,29795.490762889345,39286.28505053833
none,0.05,4,42782.73997477454,5193.183303937694,29795.490762889345,39286.28505053833
none,0.05,5,-19146.972975794313,-22458.04716814644,29795.490762889345,39286.28505053833
none,0.05,6,-19980.116644565598,-43767.00156883258,29795.490762889345,39286.28505053833
none,0.05,7,-30947.866083186178,-18488.83994039608,29795.490762889345,39286.28505053833
none,0.05,8,-25124.3941964471,10205.289044123434,29795.490762889345,39286.28505053833
none,0.05,9,-63832.90469912847,-27242.25530435695,29795.490762889345,39286.28505053833
none,0.05,10,17453.154153588053,22291.222727346816,29795.490762889345,39286.28505053833
none,0.05,11,-38975.45282269138,43867.329441770125,29795.490762889345,39286.28505053833
none,0.05,12,31407.460492790997,79678.48466764955,29795.490762889345,39286.28505053833
none,0.05,13,-11307.322753335437,-24004.65475874915,29795.490762889345,39286.28505053833
none,0.05,14,-14493.874972858874,-8612.714439844625,29795.490762889345,39286.28505053833
none,0.05,15,4973.312576412311,78809.73469791061,29795.490762889345,39286.28505053833
none,0.05,16,29134.55404195009,-36085.06824907422,29795.490762889345,39286.28505053833
none,0.05,17,-7932.5651289712405,-50240.37117306376,29795.490762889345,39286.28505053833
none,0.05,18,29031.132835398515,-21880.264579456183,29795.490762889345,39286.28505053833
none,0.05,19,47558.09838939269,37327.919866850396,29795.490762889345,39286.28505053833
none,0.1,0,-40409.05835770475,-39305.912947475386,35324.88733141885,53574.61691671822
none,0.1,1,-43354.05245349021,-23246.431007370702,35324.88733141885,53574.61691671822
none,0.1,2,-65003.30004812694,-48399.063012628525,35324.88733141885,53574.61691671822
none,0.1,3,1269.1096504739253,-27036.183525799977,35324.88733141885,53574.61691671822
none,0.1,4,2173.7916352174943,6332.549004354689,35324.88733141885,53574.61691671822
none,0.1,5,64246.09320141788,18258.10600220767,35324.88733141885,53574.61691671822
none,0.1,6,-32318.55941066559,-25654.645297202485,35324.88733141885,53574.61691671822
none,0.1,7,-18008.00944216657,21473.405434514978,35324.88733141885,53574.61691671822
none,0.1,8,8828.451544486627,153425.27765057707,35324.88733141885,53574.61691671822
none,0.1,9,-10693.131533715175,-26228.904923285096,35324.88733141885,53574.61691671822
none,0.1,10,9978.771819251037,-7554.512664979004,35324.88733141885,53574.61691671822
none,0.1,11,-24538.49474183118,-29863.571085316216,35324.88733141885,53574.61691671822
none,0.1,12,37600.16242618271,-44679.40564636345,35324.88733141885,53574.61691671822
none,0.1,13,-18241.26538339627,-14874.348550387745,35324.88733141885,53574.61691671822
none,0.1,14,64883.06800884899,-10389.865291648079,35324.88733141885,53574.61691671822
none,0.1,15,-12015.08436331767,121253.47480494785,35324.88733141885,53574.61691671822
none,0.1,16,-55976.12875701365,65563.72429297538,35324.88733141885,53574.61691671822
none,0.1,17,858.078054587153,-64256.976687069386,35324.88733141885,53574.61691671822
none,0.1,18,38998.06401017064,3684.4401526185393,35324.88733141885,53574.61691671822
none,0.1,19,8172.085087271174,10398.423573378619,35324.88733141885,53574.61691671822
none,0.15,0,-21641.37616075072,-11854.30704598088,39677.58987234193,100307.91663178381
none,0.15,1,-36877.00335265664,76028.20049397706,39677.58987234193,100307.91663178381
none,0.15,2,63664.414433046506,-23701.31805255299,39677.58987234193,100307.91663178381
none,0.15,3,-56046.825520340775,-25456.424103926285,39677.58987234193,100307.91663178381
none,0.15,4,-66711.78466587608,-24467.752322835586,39677.58987234193,100307.91663178381
none,0.15,5,-19816.32053085012,-34130.05337564563,39677.58987234193,100307.91663178381
none,0.15,6,-46045.89180097831,-44466.34047309181,39677.58987234193,100307.91663178381
none,0.15,7,8513.355711772689,32108.94284106756,39677.58987234193,100307.91663178381
none,0.15,8,-45845.786066465254,7909.726287179248,39677.58987234193,100307.91663178381
none,0.15,9,4598.4828788825835,-58468.4046013991,39677.58987234193,100307.91663178381
none,0.15,10,-31306.377034531062,-9965.95305655367,39677.58987234193,100307.91663178381
none,0.15,11,-26900.32575710368,-40522.57160537795,39677.58987234193,100307.91663178381
none,0.15,12,-33268.83806654569,36824.67433853989,39677.58987234193,100307.91663178381
none,0.15,13,-48793.82289781244,418289.53399695776,39677.58987234193,100307.91663178381
none,0.15,14,-73513.61104700866,-49016.83369754776,39677.58987234193,100307.91663178381
none,0.15,15,15212.274837568722,-31837.210109025007,39677.58987234193,100307.91663178381
none,0.15,16,-34318.716814793646,-26121.31161145738,39677.58987234193,100307.91663178381
none,0.15,17,2801.943915131793,27823.378823080886,39677.58987234193,100307.91663178381
none,0.15,18,-28784.972106301808,-42725.48873224048,39677.58987234193,100307.91663178381
