n_probes,repeat,strategy,reconstruction_error_l1,reconstruction_error_l2,ranking_ndcg_k3,ranking_ndcg_k5,jaccard_k3,precision_k3,recall_k3,kendall_tau
2,210,random,7371043.03285863,13824750.37439336,0.6756269114649743,0.7744576949937525,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
2,210,round_robin,3979937.717441155,10172917.124134421,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,210,ucb,3419174.599707852,8187678.325839061,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,210,dpp,7359460.4707319,13824633.845791439,0.862800601007571,0.9535071231671747,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,211,random,7372206.010122121,13824752.156280775,0.5613670894308711,0.7636656229942641,0.5,0.6666666666666666,0.6666666666666666,-0.11952286093343936
2,211,round_robin,7362900.652498943,13824701.15599361,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,211,ucb,3390480.806622731,8186986.872754542,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,211,dpp,7356747.1713304715,13824628.547653561,0.7963282983442835,0.928908283983936,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
2,212,random,4790760.510910408,11716404.891676277,0.5613670894308711,0.7636656229942641,0.5,0.6666666666666666,0.6666666666666666,-0.11952286093343936
2,212,round_robin,7362946.106028979,13824701.157947507,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,212,ucb,3404932.0361824953,8187263.772729515,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,212,dpp,7356696.78176422,13824628.538246965,0.7963282983442835,0.928908283983936,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
2,213,random,5761512.084537056,12311173.158066854,0.4948947867675836,0.7434834786913489,0.5,0.6666666666666666,0.6666666666666666,-0.35856858280031806
2,213,round_robin,5593671.011301566,11960246.689779213,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,213,ucb,3422149.2056209613,8187911.438826845,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,213,dpp,7373198.118472004,13824753.852024585,0.862800601007571,0.9535071231671747,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,214,random,7364693.877415407,13824703.393815156,0.5896541450872914,0.7907248809079634,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
2,214,round_robin,3987518.6493486916,10173029.971490558,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,214,ucb,3406832.215049907,8187657.545002991,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,214,dpp,7364460.430730538,13824703.330725549,0.5231818424240038,0.7705427366050482,0.5,0.6666666666666666,0.6666666666666666,-0.11952286093343936
4,210,random,6803905.7091984935,13655611.374042304,0.38008743322981015,0.6336593305897853,0.5,0.6666666666666666,0.6666666666666666,-0.5976143046671968
4,210,round_robin,5577675.964156453,11960086.379794,0.616588452785567,0.8164901067973944,0.5,0.6666666666666666,0.6666666666666666,0.2
4,210,ucb,680032.1236029529,2161795.9279043656,1.0,1.0,1.0,1.0,1.0,1.0
4,210,dpp,7356903.580522082,13824631.409057997,0.8087697995204777,0.9531217338633967,0.5,0.6666666666666666,0.6666666666666666,0.2
4,211,random,7360116.455269181,13824697.112633834,0.5231818424240038,0.7705427366050482,0.5,0.6666666666666666,0.6666666666666666,-0.11952286093343936
4,211,round_robin,6803638.1725001605,13655605.630379941,0.38008743322981015,0.6336593305897853,0.5,0.6666666666666666,0.6666666666666666,-0.6
4,211,ucb,689676.9878871549,2162857.5856810817,1.0,1.0,1.0,1.0,1.0,1.0
4,211,dpp,4044074.9024244267,9607326.686288707,0.8345135453511509,0.9343431415957548,0.5,0.6666666666666666,0.6666666666666666,0.2
4,212,random,5199891.651895202,12121116.47751297,0.4948947867675836,0.7434834786913489,0.5,0.6666666666666666,0.6666666666666666,-0.31622776601683794
4,212,round_robin,4641924.621985205,11347835.948130988,0.4341182347169036,0.770096320283714,0.2,0.3333333333333333,0.3333333333333333,-0.2
4,212,ucb,645734.4918226424,2160292.8150479686,1.0,1.0,1.0,1.0,1.0,1.0
4,212,dpp,7356901.27438854,13824631.4071,0.8087697995204777,0.9531217338633967,0.5,0.6666666666666666,0.6666666666666666,0.2
4,213,random,4986135.543222305,10323871.09066106,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
4,213,round_robin,5564060.406771738,11959957.496942427,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.0
4,213,ucb,687994.8814736623,2163172.4055280136,1.0,1.0,1.0,1.0,1.0,1.0
4,213,dpp,5829528.725962917,13121914.705307808,0.41160877321663564,0.6579508466174254,0.2,0.3333333333333333,0.3333333333333333,-0.4
4,214,random,6810509.497364848,13655669.699921902,0.5025171333617399,0.6711575489236075,0.5,0.6666666666666666,0.6666666666666666,-0.31622776601683794
4,214,round_robin,3994219.932145838,10173618.228480466,0.616588452785567,0.8164901067973944,0.5,0.6666666666666666,0.6666666666666666,0.2
4,214,ucb,648685.3371428794,2159137.7726854277,1.0,1.0,1.0,1.0,1.0,1.0
4,214,dpp,7365897.302212266,13824742.686857307,0.22200821303367538,0.6007653897981304,0.2,0.3333333333333333,0.3333333333333333,-0.8
6,210,random,5587769.179789768,11960237.684519887,0.5231818424240038,0.7918032353963808,0.5,0.6666666666666666,0.6666666666666666,0.0
6,210,round_robin,3007157.6038679266,9444459.516328147,0.616588452785567,0.8421673004690505,0.5,0.6666666666666666,0.6666666666666666,0.4
6,210,ucb,103545.51329719572,160304.68460963076,1.0,1.0,1.0,1.0,1.0,1.0
6,210,dpp,6800712.411800398,13655653.013948407,0.5419837487506564,0.7089111185337087,0.5,0.6666666666666666,0.6666666666666666,0.0
6,211,random,3192898.238828459,7648659.972913857,1.0,1.0,1.0,1.0,1.0,1.0
6,211,round_robin,5747560.893456994,12311134.18525531,0.5613670894308711,0.7893428166659202,0.5,0.6666666666666666,0.6666666666666666,0.0
6,211,ucb,70770.35920710185,102922.34356589566,1.0,1.0,1.0,1.0,1.0,1.0
6,211,dpp,6372824.55408142,13297627.446206536,0.6756269114649743,0.7614170715648358,0.5,0.6666666666666666,0.6666666666666666,0.2
6,212,random,5737808.91258246,12310964.100079726,0.683796789562801,0.7901682364261051,0.5,0.6666666666666666,0.6666666666666666,0.0
6,212,round_robin,5184139.315630684,12120978.84940806,0.6173244868995134,0.7809816970251713,0.5,0.6666666666666666,0.6666666666666666,0.0
6,212,ucb,62133.18625125115,95978.97157664219,1.0,1.0,1.0,1.0,1.0,1.0
6,212,dpp,3384155.4522661925,8186954.9875623565,0.8087697995204777,0.9641173387653782,0.5,0.6666666666666666,0.6666666666666666,0.4
6,213,random,1623688.3114300368,4355053.83731011,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
6,213,round_robin,6793259.634249871,13655584.451330975,0.24894252073195106,0.6162657217982104,0.2,0.3333333333333333,0.3333333333333333,-0.8
6,213,ucb,88475.02149023498,132638.3740817708,1.0,1.0,1.0,1.0,1.0,1.0
6,213,dpp,5728811.550405512,12310939.965352222,0.8813426251478521,0.8820762456191934,1.0,1.0,1.0,0.4
6,214,random,2838424.6868061153,7898560.714423564,0.8087697995204777,0.9531217338633967,0.5,0.6666666666666666,0.6666666666666666,0.2
6,214,round_robin,2643205.614896611,7338849.754124357,0.8444640896296123,0.9749547444954273,0.5,0.6666666666666666,0.6666666666666666,0.6
6,214,ucb,99838.81665562422,174958.74218278474,1.0,1.0,1.0,1.0,1.0,1.0
6,214,dpp,5832843.169937461,13121988.096845094,0.26089201742828566,0.6276965513964697,0.2,0.3333333333333333,0.3333333333333333,-0.8
8,210,random,1074775.5723059762,3784343.0766865863,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
8,210,round_robin,1079780.9486794216,3784678.616311043,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
8,210,ucb,63878.27240428853,121040.73027545142,1.0,1.0,1.0,1.0,1.0,1.0
8,210,dpp,5803702.632137054,13121695.461738113,0.26089201742828566,0.6379614452858208,0.2,0.3333333333333333,0.3333333333333333,-0.6
8,211,random,3960567.4994212654,10172913.479393458,0.5639103992566181,0.8095034731756052,0.5,0.6666666666666666,0.6666666666666666,0.0
8,211,round_robin,3376828.2170351874,9941547.071602078,0.5639103992566181,0.8307639719669377,0.5,0.6666666666666666,0.6666666666666666,0.2
8,211,ucb,43351.563491475565,59827.07166833459,1.0,1.0,1.0,1.0,1.0,1.0
8,211,dpp,1832699.5719240715,6934756.439194962,0.8614478530494267,0.9601083674851862,0.5,0.6666666666666666,0.6666666666666666,0.4
8,212,random,2401115.103285996,7261656.863930315,0.8614478530494267,0.9601083674851862,0.5,0.6666666666666666,0.6666666666666666,0.4
8,212,round_robin,5180167.848993576,12120915.355827281,0.6173244868995134,0.7809816970251713,0.5,0.6666666666666666,0.6666666666666666,0.0
8,212,ucb,64028.26980014183,132506.76062139432,1.0,1.0,1.0,1.0,1.0,1.0
8,212,dpp,5018676.620013354,11764558.652370857,0.5231818424240038,0.7918032353963808,0.5,0.6666666666666666,0.6666666666666666,0.0
8,213,random,2981858.2647157083,9444446.447026422,0.616588452785567,0.8164901067973944,0.5,0.6666666666666666,0.6666666666666666,0.2
8,213,round_robin,3181136.1688049645,7648552.922825539,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
8,213,ucb,41035.580305407835,59873.62341378183,1.0,1.0,1.0,1.0,1.0,1.0
8,213,dpp,2421946.484567359,7262166.838737121,0.8614478530494267,0.9601083674851862,0.5,0.6666666666666666,0.6666666666666666,0.4
8,214,random,3485019.2203938547,9362596.227474445,0.6789776349807631,0.916086257324894,0.2,0.3333333333333333,0.3333333333333333,0.2
8,214,round_robin,4045449.880858961,11140354.011014694,0.4341182347169036,0.770096320283714,0.2,0.3333333333333333,0.3333333333333333,-0.2
8,214,ucb,89611.90892980993,227125.3904556702,1.0,1.0,1.0,1.0,1.0,1.0
