n_probes,strategy,mean_error_l1,mean_error_l2,mean_ndcg_k3,ci_lo,ci_hi
2,dpp,5763916.930266655,11632018.663470646,0.6584565575301594,0.5788253285306343,0.7428568785408788
2,random,5444585.036308074,11434601.075411817,0.7200775318980823,0.6316347168295734,0.8201906943127497
2,round_robin,4657651.984410701,9231895.771129996,0.8548536140468505,0.805063276828613,0.9046439512650879
2,ucb,2642338.729448472,6010608.141268085,0.9628356387035062,0.9412312560477032,0.984440021359309
4,dpp,5017133.53460539,11119622.157152677,0.42911186529161227,0.2798373197230023,0.5815540662973815
4,random,5190487.847640497,11297133.832551315,0.6747491074482556,0.4883647041221962,0.8454504065599641
4,round_robin,3950754.573777339,8255607.84739048,0.7961917395352185,0.6887070181412003,0.89737579406417
4,ucb,919888.6493619144,3165695.62628193,0.9999940884798997,0.9999905415678395,0.99999763539196
6,dpp,4539168.64955273,10725480.046504175,0.5468589127755267,0.3789486988964292,0.6968480617771957
6,random,3565429.366733077,8220437.874158284,0.7480619503618884,0.5726821859981803,0.9024422953466803
6,round_robin,4059791.1814295137,9302902.52412425,0.6942028826882238,0.5482424127467194,0.8323731945751651
6,ucb,93287.6726192565,155532.52870383294,0.9994207680174878,0.9989872307586184,0.9998543052763569
8,dpp,3228800.7212379905,9043064.235869389,0.5635365185736407,0.3705279889810039,0.7718831290432593
8,random,3216398.419849149,7844180.181173617,0.7052805774805041,0.5263451682204426,0.8752702852721995
8,round_robin,2526869.5403422974,6340376.889007699,0.8598301958100102,0.7087884846207594,0.9616251338093806
8,ucb,54315.72394965296,108010.11438489726,0.9995185828870892,0.9991471741253044,0.9998842943129844
10,dpp,1527910.5892433622,4389627.7353562545,0.8169522554442755,0.656176224077767,0.95565211958446
10,random,1828292.784532919,4843032.476540393,0.8937020685690135,0.8032639733565307,0.9664110690844103
10,round_robin,2039235.6867894065,5430624.342715301,0.7939966227665096,0.5729506951864569,0.9634553670987606
10,ucb,61349.0629909422,119424.29762314055,0.9996285912382152,0.9992538201909805,0.9998899916488739
15,dpp,50048.73302809849,106175.84279851189,0.9994840788185921,0.9990805305963505,0.9998561190758906
15,random,41675.136105092985,87420.18884112223,0.9997419323171908,0.999370523555406,0.9999976649495604
15,round_robin,51351.237615445665,107706.41834851229,0.9994840788185921,0.9990748332604611,0.9998807769585246
15,ucb,37072.68272670728,78447.40660252872,0.9993752527714861,0.998976219581114,0.9997742859618584
20,dpp,63193.06602133034,145497.36870614014,0.9997442969252308,0.999372888163446,1.0
20,random,47741.02052952943,105991.98137238398,0.9996676103385816,0.9993387675892235,0.9999940884798997
20,round_robin,47270.18044821987,96002.285573033,0.9995788255327192,0.9991588333694583,0.9999964530879397
20,ucb,48946.75340956932,114322.33979596461,0.9997119432805631,0.9992874360854328,0.99999763539196
