parameter,value,regime,sit_p99,random_p99,sit_cvar99,random_cvar99,p99_reduction_pct,cvar99_reduction_pct
load,0.3,benign,98761.35589725546,136271.7055697932,320406.82012633386,380683.195381599,27.526146763699504,15.833736814897692
load,0.3,structured,326465.1236425622,346696.1125686844,829343.376293135,719978.3319876955,5.835366533599137,-15.190046623140391
load,0.3,adversarial,961409.9977756185,1431753.5117287051,7198740.683818226,8198513.194257003,32.85087203209943,12.194558778524753
load,0.6,benign,404438.38072752923,490346.256114902,1358184.2934622585,3692923.1889000726,17.51983915774858,63.22197283862842
load,0.6,structured,1275649.4742632797,1902250.9080927505,5153024.361060305,7381496.763031688,32.93999919588519,30.18998007466601
load,0.6,adversarial,2941462.9950337196,5331186.243016755,8815506.500681143,14115457.231524087,44.8253566664136,37.54714171785063
load,0.9,benign,2720424.6080093533,2888062.554291019,14339961.080845939,14929973.12329814,5.804512302982953,3.9518627232589636
load,0.9,structured,9576545.717006836,12236066.85505067,19203434.749410715,29242425.02352024,21.73509812874278,34.33022489083916
load,0.9,adversarial,69217281.40826483,100783009.86049761,358355000.2513476,508319763.68780816,31.320485958819454,29.5020524774566
distance,same_core,benign,2695976.5727742487,2817010.303783675,14483849.492914768,15224430.047109064,4.29653135619915,4.864422194477639
distance,same_core,structured,8879509.451746823,11127880.931588674,19746004.413283747,27068001.707285695,20.204848467235188,27.050379903113203
distance,same_core,adversarial,67304752.97699343,99891173.3967615,343342042.0641036,508188922.95822525,32.62192174911876,32.438109814462166
distance,same_numa,benign,389311.53312215186,515475.17415871966,1071841.2082361253,3197332.3074826696,24.475211874650014,66.47701567560834
distance,same_numa,structured,1862552.3970073017,2572129.038564893,3898137.09299083,7944350.048382842,27.587132329624335,50.93195706067436
distance,same_numa,adversarial,4463088.509672262,6263658.845297682,22660643.31010936,14042136.15657592,28.746302761638475,-61.37604035050891
distance,cross_socket,benign,138336.23873773665,182195.03803331932,462861.4932836421,581817.1529880794,24.072444435924698,20.445540165584372
distance,cross_socket,structured,436598.4661585542,785003.905558535,1541660.980489574,2331548.362871087,44.38263770829118,33.87823280701069
distance,cross_socket,adversarial,1352312.9144084563,1391117.3731839056,8366562.061633976,8402674.998788152,2.7894453425332473,0.4297790544009376
device,embedded_a,all,24579347.234238584,35557064.88495039,128495841.99253455,182917996.36020598,30.873520315109452,29.75221435320239
device,laptop_a,all,4040070.937888101,5414775.743962346,8100831.370178281,10323941.780568799,25.38802844433744,21.53354268787861
device,server_a,all,554728.18141364,876707.3733975604,1927860.6763024065,2418466.4391281162,36.72595916880837,20.285820588131813
