,scheduler,distance,mean_mean,mean_std,p95_mean,p95_std,p99_mean,p99_std,cvar99_mean,cvar99_std
0,linux_proxy,cross_numa,145751.113414393,1288850.967383381,289145.5383441008,1491911.4218875447,1264367.9226811195,8511106.57804356,7197664.783259321,102243842.48298441
1,linux_proxy,cross_socket,88094.19795052594,1127720.879946473,147088.89588290543,790662.3922776442,582075.2795813023,3816505.8162209624,5054181.721525299,103675389.7585438
2,linux_proxy,same_core,1990781.6026445942,28126055.898889158,3144693.669078557,24034219.25963399,14350620.884505766,120302423.39586025,118400248.08570333,2387049764.257888
3,linux_proxy,same_llc,841267.7199151417,10882343.843783787,1732358.5706432518,13378213.841420172,5894989.820833712,42619951.716743305,42535812.480125315,901306903.6764743
4,linux_proxy,same_numa,347590.1026031731,2877395.1335232416,715502.9103250192,4523580.494967199,3074552.102415488,26109028.82922014,17055902.69283982,195071041.56296337
5,mean_greedy,cross_numa,25410.170536683207,105667.85526206251,66274.51699015731,299537.8643508965,216087.09565383568,1206866.3565272805,610511.6496964407,3134387.994180631
6,mean_greedy,cross_socket,18318.9784321761,63559.16092940865,42901.35493500866,159493.7633434925,126753.50375542256,513135.851460139,483921.149586055,2398855.9343291367
7,mean_greedy,same_core,117312.37940579408,649867.2420320787,259051.62375610173,1462996.572506462,1176750.2005821504,8293613.789483343,5195062.520684083,38810160.66406512
8,mean_greedy,same_llc,143753.73379231835,2588761.3649961757,190501.9222713317,971459.7482386087,686549.8750895098,3601429.330568484,9668964.591749566,253198257.72865024
9,mean_greedy,same_numa,47062.33841300122,293516.7808083912,106645.89186323303,552612.3393582419,347559.0867574744,1924663.524303625,1806543.21795094,18985174.67066002
10,random,cross_numa,80033.86194159479,424685.2089997884,180003.73033205554,975244.3497329545,639516.5671520445,3379130.733395681,3446432.224469126,22763236.312017985
11,random,cross_socket,39298.44340364047,207593.18490263246,90230.38125032761,434351.48293962446,327048.76071566675,1926108.852528273,1464609.7372629035,10982757.877383268
12,random,same_core,1256807.3722486477,19274443.648378402,1856281.3326981652,15402974.722699365,7464984.603953139,59730036.88639742,81606197.98988803,1833120466.9027743
13,random,same_llc,443656.60587724746,3669380.46670058,862129.4187134588,5983499.492308979,3143636.62151593,19220018.47210189,24002617.255815912,300196267.7742667
14,random,same_numa,287484.493243685,3818557.988856267,446450.1148936286,3573870.574201933,1721181.072489761,15167766.759755176,17700584.870503567,343166082.54798126
15,similarity_avoidance,cross_numa,30258.35649318656,119547.30427411867,75382.47563440168,315107.66232327954,244066.55896786661,1145980.49520937,851290.2977511145,4114603.486173475
16,similarity_avoidance,cross_socket,20470.364460620778,80490.75314121961,46704.28644277664,169055.92635459956,144219.57682186496,587455.409954001,584075.4003927002,4289102.6341207195
17,similarity_avoidance,same_core,158400.8483690323,1001631.8896444452,335750.7074705926,1866041.494829545,1375188.5903245634,8295131.764396515,7296420.618529571,59785166.74440096
18,similarity_avoidance,same_llc,90076.70517405521,428424.40614544594,244974.9994713326,1270177.6078096975,907190.6588630565,4737868.62586668,2878686.9521974404,16535227.241231408
19,similarity_avoidance,same_numa,79897.08718606546,713265.141822519,133304.47844556757,656518.3291014066,488549.3548320774,2854246.636816593,4355810.936697162,64642375.088198386
20,sit_dpp,cross_numa,26679.113694392163,133146.84224828618,65778.89407967876,295329.0379593835,199694.41424885852,1021964.5535393022,765137.3505118624,6965215.632691886
21,sit_dpp,cross_socket,18062.134645755978,70352.06814671529,45580.55544959326,199094.72856980818,140807.6748766782,804326.0381647926,415669.60690829507,2307000.5903434902
22,sit_dpp,same_core,189258.33293045548,2041716.618824316,259677.85898772176,1500492.839108677,1173545.182234824,7614888.269666357,12366912.838546997,195627451.96504694
23,sit_dpp,same_llc,89263.88397303323,670209.4321419128,188799.75681605618,945324.8189290169,756338.4449534529,4194025.6267700056,4153213.5231943214,52677167.11619076
24,sit_dpp,same_numa,45631.16895234471,259899.96207886,104796.90739421819,514699.6796625992,391491.8041926799,2352317.262247201,1669571.9112235366,16308241.674139509
25,sit_ucb_dpp,cross_numa,29948.308759357235,200245.99427182492,67330.86215706149,344193.88768025744,228864.00097611386,1675181.5860917252,1041215.7052229625,12839682.949396228
26,sit_ucb_dpp,cross_socket,18363.236939924413,72629.41261836464,42805.28049751393,160950.50012239683,134694.0947505874,624188.1254026815,469146.85768559633,2902272.8007309563
27,sit_ucb_dpp,same_core,116655.3890452813,714770.5545199186,264090.8429506867,1545458.3124946612,976970.8835129706,5509999.023003577,5285000.98474667,53400081.774024405
28,sit_ucb_dpp,same_llc,81196.99720009675,444841.2631556717,186464.32288864473,957852.9085151101,786757.0710428414,6738423.234177283,3379980.486313341,25914005.004184317
29,sit_ucb_dpp,same_numa,43499.97307094842,221027.9687707176,102575.83254042077,485416.47137739597,373241.2022072894,2244466.9313368932,1476757.4371934636,11420372.466378935
30,static_partition,cross_numa,29595.35199825739,304307.2567727,58030.852571051626,299985.13147296023,211282.25957383082,1163199.0227930103,1395402.707125097,28545911.944660496
31,static_partition,cross_socket,15910.670895315585,69501.67689777748,34497.7438550898,126078.47296331423,124930.73284796695,694195.210651737,508345.5710379268,4194190.079796973
32,static_partition,same_core,102528.13408507407,494875.4946382829,249083.01875517913,1426252.712884369,1058810.7588598921,5181385.938584435,4702039.410281694,25766841.202262394
33,static_partition,same_llc,65231.47720962902,315020.702303874,150868.34297723393,707425.879069023,594470.6688186653,3016422.2026097546,2971912.73279863,20802970.983986367
34,static_partition,same_numa,47015.01675602193,287911.3355386577,97082.5223890451,535758.2866507854,385911.1433010152,2216905.63147013,2274639.029049571,21751826.425176464
