,scheduler,load,mean_mean,mean_std,p95_mean,p95_std,p99_mean,p99_std,cvar99_mean,cvar99_std
0,linux_proxy,0.3,95397.48339878146,422182.1294864504,163475.58376018057,570160.181974834,426222.3482160946,1520336.730472618,5356529.795955092,33683803.3557089
1,linux_proxy,0.6,848110.463288273,4665023.342720291,1287540.9986640483,6264430.095111595,3897404.445488487,17586492.12834998,56668718.36258566,367145561.4880599
2,linux_proxy,0.9,4569214.249214561,31476391.10303308,9814088.65909388,49199443.78124722,33799126.841290735,156272418.5258451,238065668.4139498,2232921490.8453293
3,mean_greedy,0.3,46890.45971733552,160788.37698538083,112965.91719532393,357008.9668418905,407785.69212858984,1268394.7250288343,1697229.9157415102,9323616.012410572
4,mean_greedy,0.6,204067.52419260985,748158.3152212196,527032.3574896316,1936678.2249808097,1825176.367002379,7437324.973679546,7216239.169421142,36776830.923860215
5,mean_greedy,0.9,1202248.0435165828,5281878.344622137,3660760.647992228,18117088.88916651,13590535.893027296,64309752.379301324,32093164.69403198,135247467.8031375
6,random,0.3,70535.34037638344,285256.7204644814,168537.35702298774,564396.1753930714,638240.4432890608,2288252.093206286,3099724.907208766,22153156.97304085
7,random,0.6,284264.5109458411,1050758.4916235793,813268.3506115412,3232538.4753937954,2574594.469074803,9763351.313578824,8396625.727818614,30457176.89977918
8,random,0.9,3288660.16016433,24896528.27454051,6306613.553698002,30473776.51166509,38635713.089946434,293774363.7546251,184164053.9448755,1909931288.8549457
9,similarity_avoidance,0.3,43655.34112137225,132814.33275025242,104612.74138158537,330579.56042358675,377146.837836031,1294731.0939771705,1526372.4359585503,6030582.31110109
10,similarity_avoidance,0.6,214480.63987363342,676909.7897860061,513356.60710588197,1817167.8392602215,1884027.692098027,7114138.3684771685,8327808.921969503,33868260.793646805
11,similarity_avoidance,0.9,1205842.1709602585,4873745.216589147,3667916.5692340783,16236382.101823619,13504481.302110191,57386649.76553269,36049304.87917943,140735151.36424658
12,sit_dpp,0.3,67316.247351449,325061.24428994436,112683.72207174744,368872.35330849,599399.8338339234,2841724.746132681,3553518.7253176174,27237042.71925075
13,sit_dpp,0.6,221188.4775380087,856241.8553458012,527440.4815005715,1910411.9357121417,2214398.899661544,8685074.913180394,8475119.537561003,44836064.240339026
14,sit_dpp,0.9,1237780.9899716463,5182319.420164934,3745516.76619943,16994418.03252054,14481653.819271844,65065601.99028244,32153236.878897414,115804643.04492953
15,sit_ucb_dpp,0.3,63136.544155617914,251256.83229852776,116080.6209370444,373810.11989245244,402353.082846444,1433153.8867568516,3283265.9027731796,17942905.52844601
16,sit_ucb_dpp,0.6,247232.75076576677,974959.488402334,584269.3686015008,2083838.5172171972,3349091.424648795,15828233.521401938,9598748.595843656,44822564.04098623
17,sit_ucb_dpp,0.9,1914343.041966875,11461575.798009474,4324197.557080077,22166128.92373233,15260293.341900004,77559945.98034722,102933621.78670403,753100128.3418345
18,static_partition,0.3,19224.60496537003,49491.65037050364,48668.31423208387,133420.49872644158,154396.1392936134,527146.8598864086,512644.7340691132,1842268.4926831336
19,static_partition,0.6,112730.33231287809,401438.40653229546,238318.78374921755,843803.002571924,1094051.6483442762,4808938.104422113,5523587.6656776285,23819487.67743788
20,static_partition,0.9,471681.40419778513,2250355.4181907,816192.5733900608,3186908.806017548,4988632.252537767,24216948.289855562,28507619.03509707,173269844.29066014
