,scheduler,regime,mean_mean,mean_std,p95_mean,p95_std,p99_mean,p99_std,cvar99_mean,cvar99_std
0,linux_proxy,adversarial,1695714.9701376162,23408410.44671665,2770120.1339608077,21207222.840827692,11548309.969393553,98118207.40392607,99707968.88696347,1981557601.793822
1,linux_proxy,benign,70136.8841404391,415157.71592694643,183252.98885470966,1266716.7171466441,660131.1893082625,4510821.86461889,2609289.8020285554,17159193.059174124
2,linux_proxy,structured,282238.9876386416,2021541.4017569001,663900.6277487827,4054773.3022217383,2891522.4473086167,24362339.290874023,11829027.169079829,116112450.08353385
3,mean_greedy,adversarial,121208.24347396643,770757.5826930936,248756.1818253291,1289661.5179697222,1050064.1028434464,6934539.035623064,5715449.794824592,54332185.36942211
4,mean_greedy,benign,18584.097794605543,116448.04168538144,40991.12594010561,205819.5214104766,128336.2442460199,759096.0111275385,649011.9411480331,7843363.889898119
5,mean_greedy,structured,42896.14734757503,182414.825146207,103390.50523231695,443980.1003568631,360961.38856257097,1615454.9849003896,1465420.2148603993,9068613.991202109
6,random,adversarial,674566.2975174856,5476859.5366124585,1546833.6001396386,12867177.511661995,5858968.637972133,48670074.96980436,30734058.70216077,314425614.45945716
7,random,benign,47453.84630527195,329091.1680724855,108864.72858345523,749319.3708455281,512098.5375055421,6279742.851517586,1878372.0094008103,15931395.610852735
8,random,structured,542348.3222061316,14493607.230612654,405358.65800948755,2469124.4138961975,1606753.4000182506,10235585.032353885,44319834.535202146,1429422157.5680125
9,similarity_avoidance,adversarial,149635.32922665132,971416.979560292,317825.0048482364,1716537.9463615934,1209857.8873215334,7260051.584849479,6789691.247392057,67895737.45301817
10,similarity_avoidance,benign,21543.948300592503,122891.49904786238,52664.00114603968,280413.08649253927,190962.33646446426,1182196.3662919272,679645.7654752628,6464523.2850909075
11,similarity_avoidance,structured,56282.73948253236,263251.4234795527,131181.16248452655,603822.1257159604,494708.62009965954,2567079.000671144,2110433.510473472,13490577.261985738
12,sit_dpp,adversarial,128334.9994836177,1006497.0946556589,254143.3210677214,1380372.9125887903,1033899.7269180553,6330860.456110885,6382761.241396822,80916650.9458383
13,sit_dpp,benign,22431.89782606703,203966.4789346972,40881.68432864414,207204.3141874155,143875.9198835202,854793.9504952962,1025483.36614539,18379712.574437615
14,sit_dpp,structured,46312.54395686315,294810.9054511853,105424.29871915396,495741.19360344444,382061.3676399553,2504677.4764739512,1809063.9434823536,23354639.283617377
15,sit_ucb_dpp,adversarial,129220.70850852132,816779.0738453001,317730.8526682598,1836784.0273790054,1223243.2376978793,7798828.859915196,4706423.08789376,40766407.55088728
16,sit_ucb_dpp,benign,29078.99688809638,361982.8965387843,48147.145590318214,251832.04287719374,156088.61128887144,938168.1436220756,1504209.7034264603,32758712.6267809
17,sit_ucb_dpp,structured,62944.27834418437,433226.3186011338,127840.02528487508,617562.3977460519,457113.6515977971,2561601.0854835752,2863413.726279891,32757790.418220785
18,static_partition,adversarial,92895.72930710364,453792.8529180848,223719.83768932248,1241583.1320343846,910181.8673213009,4606703.480599037,4198154.901066406,25970779.002463628
19,static_partition,benign,16468.306639763206,79724.35523439024,36154.7279421099,180824.31515235789,140607.46906007433,845473.4834330301,569474.024432808,4773393.552915356
20,static_partition,structured,46804.35461971195,319506.1912770058,93862.92269712739,425384.4406543901,374454.001659447,1922370.7333390564,2343774.7446765364,27263102.266394388
